,precision,recall,f1-score,support
Good,0.9974619289340102,0.9825,0.9899244332493703,400.0
Hazardous,0.8275862068965517,0.72,0.7700534759358288,100.0
Moderate,0.8910256410256411,0.9266666666666666,0.9084967320261438,300.0
Poor,0.7681159420289855,0.795,0.7813267813267813,200.0
accuracy,0.902,0.902,0.902,0.902
macro avg,0.8710474297212971,0.8560416666666667,0.8624503556345311,1000.0
weighted avg,0.9026742729767487,0.902,0.9017894967665304,1000.0
