,precision,recall,f1-score,support
Good,0.9900744416873449,0.9975,0.9937733499377335,400.0
Hazardous,0.8953488372093024,0.77,0.8279569892473119,100.0
Moderate,0.9306930693069307,0.94,0.9353233830845771,300.0
Poor,0.8221153846153846,0.855,0.8382352941176471,200.0
accuracy,0.929,0.929,0.929,0.929
macro avg,0.9095579332047407,0.890625,0.8988222540968175,1000.0
weighted avg,0.9291956581110243,0.929,0.9285491126487272,1000.0
